lucode_nlcd,description_nlcd,load_n,eff_n,load_p,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n
11,Water,0,0,0,0,30,30,0
21,"Developed, Open Space",2.6,0.1,0.18,0.05,30,30,0
22,"Developed, Low intensity",4.97,0.09,0.53,0.05,30,30,0
23,"Developed, Medium intensity",12.78,0.08,4.17,0.05,30,30,0
24,"Developed, High intensity",14.95,0.07,4.85,0.05,30,30,0
31,Bare rock/Sand/Clay,1,0.05,0.1,0.05,30,30,0
41,Deciduous forest,2,0.85,0.25,0.8,30,30,0
42,Evergreen forest,2.38,0.8,0.298,0.8,30,30,0
43,Mixed forest,2.2,0.83,0.275,0.8,30,30,0
52,Shrub/Scrub,3,0.65,0.15,0.4,30,30,0
71,Grasslands/Herbaceous,5.67,0.6,0.15,0.4,30,30,0
81,Pasture/Hay,6.28,0.1,1.35,0.25,30,30,0
82,Cultivated crops,12.42,0.25,2.21,0.25,30,30,0
90,Woody wetlands,1.3,0.7,0.07,0.8,30,30,0
95,Emergent herbaceous wetlands,1.5,0.6,0.08,0.8,30,30,0
0,Background,0,0,0,0,30,30,0