lucode_cdl,name,crop_group_Stewart2019,lucode_nlcd,name_nlcd,note
0,Background,NA,0,,
1,Corn,corn crops,82,Cultivated crops,
2,Cotton,miscellaneous crops,82,Cultivated crops,
3,Rice,miscellaneous crops,82,Cultivated crops,
4,Sorghum,small grain crops,82,Cultivated crops,
5,Soybeans,nitrogen-fixing crops,82,Cultivated crops,
6,Sunflower,miscellaneous crops,82,Cultivated crops,
10,Peanuts,miscellaneous crops,82,Cultivated crops,
11,Tobacco,miscellaneous crops,82,Cultivated crops,
12,Sweet Corn,corn crops,82,Cultivated crops,
13,Pop or Orn Corn,corn crops,82,Cultivated crops,
14,Mint,miscellaneous crops,82,Cultivated crops,
21,Barley,small grain crops,82,Cultivated crops,
22,Durum Wheat,small grain crops,82,Cultivated crops,
23,Spring Wheat,small grain crops,82,Cultivated crops,
24,Winter Wheat,small grain crops,82,Cultivated crops,
25,Other Small Grains,small grain crops,82,Cultivated crops,
26,Dbl Crop WinWht/Soybeans,small grain crops,82,Cultivated crops,
27,Rye,small grain crops,82,Cultivated crops,
28,Oats,small grain crops,82,Cultivated crops,
29,Millet,small grain crops,82,Cultivated crops,
30,Speltz,small grain crops,82,Cultivated crops,
31,Canola,miscellaneous crops,82,Cultivated crops,
32,Flaxseed,miscellaneous crops,82,Cultivated crops,
33,Safflower,miscellaneous crops,82,Cultivated crops,
34,Rape Seed,miscellaneous crops,82,Cultivated crops,
35,Mustard,miscellaneous crops,82,Cultivated crops,
36,Alfalfa,nitrogen-fixing crops,82,Cultivated crops,
37,Other Hay/Non Alfalfa,grass-pasture-hay crops,82,Cultivated crops,
38,Camelina,miscellaneous crops,82,Cultivated crops,
39,Buckwheat,miscellaneous crops,82,Cultivated crops,
41,Sugarbeets,miscellaneous crops,82,Cultivated crops,
42,Dry Beans,miscellaneous crops,82,Cultivated crops,
43,Potatoes,miscellaneous crops,82,Cultivated crops,
44,Other Crops,miscellaneous crops,82,Cultivated crops,
45,Sugarcane,miscellaneous crops,82,Cultivated crops,
46,Sweet Potatoes,miscellaneous crops,82,Cultivated crops,
47,Misc Vegs & Fruits,miscellaneous crops,82,Cultivated crops,
48,Watermelons,miscellaneous crops,82,Cultivated crops,
49,Onions,miscellaneous crops,82,Cultivated crops,
50,Cucumbers,miscellaneous crops,82,Cultivated crops,
51,Chick Peas,miscellaneous crops,82,Cultivated crops,
52,Lentils,miscellaneous crops,82,Cultivated crops,
53,Peas,miscellaneous crops,82,Cultivated crops,
54,Tomatoes,miscellaneous crops,82,Cultivated crops,
55,Caneberries,miscellaneous crops,82,Cultivated crops,
56,Hops,miscellaneous crops,82,Cultivated crops,
57,Herbs,miscellaneous crops,82,Cultivated crops,
58,Clover/Wildflowers,nitrogen-fixing crops,82,Cultivated crops,
59,Sod/Grass Seed,miscellaneous crops,82,Cultivated crops,
60,Switchgrass,miscellaneous crops,82,Cultivated crops,
61,Fallow/Idle Cropland,NA,52,Shrub/Scrub,
63,Forest,NA,43,Mixed forest,
64,Shrubland,NA,52,Shrub/Scrub,
65,Barren,NA,31,Bare rock/Sand/Clay,
66,Cherries,miscellaneous crops,82,Cultivated crops,
67,Peaches,miscellaneous crops,82,Cultivated crops,
68,Apples,miscellaneous crops,82,Cultivated crops,
69,Grapes,miscellaneous crops,82,Cultivated crops,
70,Christmas Trees,miscellaneous crops,82,Cultivated crops,
71,Other Tree Crops,miscellaneous crops,82,Cultivated crops,
72,Citrus,miscellaneous crops,82,Cultivated crops,
74,Pecans,miscellaneous crops,82,Cultivated crops,
75,Almonds,miscellaneous crops,82,Cultivated crops,
76,Walnuts,miscellaneous crops,82,Cultivated crops,
77,Pears,miscellaneous crops,82,Cultivated crops,
81,Clouds/No Data,NA,0,,
82,Developed,NA,23,"Developed, Medium intensity",
83,Water,NA,11,Water,
87,Wetlands,NA,90,Woody wetlands,
88,Nonag/Undefined,NA,0,,
92,Aquaculture,NA,11,Water,
111,Open Water,NA,11,Water,
112,Perennial Ice/Snow,NA,0,,
121,Developed/Open Space,NA,21,"Developed, Open Space",
122,Developed/Low Intensity,NA,22,"Developed, Low intensity",
123,Developed/Med Intensity,NA,23,"Developed, Medium intensity",
124,Developed/High Intensity,NA,24,"Developed, High intensity",
131,Barren,NA,31,Bare rock/Sand/Clay,
141,Deciduous Forest,NA,41,Deciduous forest,
142,Evergreen Forest,NA,42,Evergreen forest,
143,Mixed Forest,NA,43,Mixed forest,
152,Shrubland,NA,52,Shrub/Scrub,
176,Grassland/Pasture,grass-pasture-hay crops,81,Pasture/Hay,
190,Woody Wetlands,NA,90,Woody wetlands,
195,Herbaceous Wetlands,NA,95,Emergent herbaceous wetlands,
204,Pistachios,miscellaneous crops,82,Cultivated crops,
205,Triticale,small grain crops,82,Cultivated crops,
206,Carrots,miscellaneous crops,82,Cultivated crops,
207,Asparagus,miscellaneous crops,82,Cultivated crops,
208,Garlic,miscellaneous crops,82,Cultivated crops,
209,Cantaloupes,miscellaneous crops,82,Cultivated crops,
210,Prunes,miscellaneous crops,82,Cultivated crops,
211,Olives,miscellaneous crops,82,Cultivated crops,
212,Oranges,miscellaneous crops,82,Cultivated crops,
213,Honeydew Melons,miscellaneous crops,82,Cultivated crops,
214,Broccoli,miscellaneous crops,82,Cultivated crops,
215,Avocados,miscellaneous crops,82,Cultivated crops,not in Stewart 2019 Appendix 4
216,Peppers,miscellaneous crops,82,Cultivated crops,
217,Pomegranates,miscellaneous crops,82,Cultivated crops,
218,Nectarines,miscellaneous crops,82,Cultivated crops,
219,Greens,miscellaneous crops,82,Cultivated crops,
220,Plums,miscellaneous crops,82,Cultivated crops,
221,Strawberries,miscellaneous crops,82,Cultivated crops,
222,Squash,miscellaneous crops,82,Cultivated crops,
223,Apricots,miscellaneous crops,82,Cultivated crops,
224,Vetch,nitrogen-fixing crops,82,Cultivated crops,
225,Dbl Crop WinWht/Corn,corn crops,82,Cultivated crops,
226,Dbl Crop Oats/Corn,corn crops,82,Cultivated crops,
227,Lettuce,miscellaneous crops,82,Cultivated crops,
228,Dbl Crop Triticale/Corn,corn crops,82,Cultivated crops,not in Stewart 2019 Appendix 4
229,Pumpkins,miscellaneous crops,82,Cultivated crops,
230,Dbl Crop Lettuce/Durum Wht,miscellaneous crops,82,Cultivated crops,
231,Dbl Crop Lettuce/Cantaloupe,miscellaneous crops,82,Cultivated crops,
232,Dbl Crop Lettuce/Cotton,miscellaneous crops,82,Cultivated crops,
233,Dbl Crop Lettuce/Barley,miscellaneous crops,82,Cultivated crops,
234,Dbl Crop Durum Wht/Sorghum,small grain crops,82,Cultivated crops,
235,Dbl Crop Barley/Sorghum,small grain crops,82,Cultivated crops,
236,Dbl Crop WinWht/Sorghum,small grain crops,82,Cultivated crops,
237,Dbl Crop Barley/Corn,corn crops,82,Cultivated crops,
238,Dbl Crop WinWht/Cotton,miscellaneous crops,82,Cultivated crops,
239,Dbl Crop Soybeans/Cotton,miscellaneous crops,82,Cultivated crops,
240,Dbl Crop Soybeans/Oats,small grain crops,82,Cultivated crops,
241,Dbl Crop Corn/Soybeans,corn crops,82,Cultivated crops,
242,Blueberries,miscellaneous crops,82,Cultivated crops,
243,Cabbage,miscellaneous crops,82,Cultivated crops,
244,Cauliflower,miscellaneous crops,82,Cultivated crops,
245,Celery,miscellaneous crops,82,Cultivated crops,
246,Radishes,miscellaneous crops,82,Cultivated crops,
247,Turnips,miscellaneous crops,82,Cultivated crops,
248,Eggplants,miscellaneous crops,82,Cultivated crops,
249,Gourds,miscellaneous crops,82,Cultivated crops,
250,Cranberries,miscellaneous crops,82,Cultivated crops,
254,Dbl Crop Barley/Soybeans,small grain crops,82,Cultivated crops,
171,Pollinator habitat,NA,71,Grasslands/Herbaceous,