VALUE,CLASS_NAME,Kc reference,Kc ref crop,dev stage notes,ini,mid,end,cold,Init. (Lini),Dev. (Ldev),Mid (Lmid),Late (Llate),Total,FAO Plant Date,Plant month,Plant day,Harv month,Harv day,Winter Kc ref crop,Winter dev stage notes,Winter ini,Winter mid,Winter end,Winter Init. (Lini),Winter Dev. (Ldev),Winter Mid (Lmid),Winter Late (Llate),Winter Total,Winter FAO Plant Date,Winter plant month,Winter plant day
1,Corn,FAO,"Maize, Field (grain) (field corn)","Idaho, USA",0.7,1.2,0.48,,30,40,50,50,170,April,April,15,,,,,,,,,,,,,,,
2,Cotton,FAO,cotton,Egypt; Pakistan; Calif.,0.35,1.18,0.6,,30,50,60,55,195,Mar-May,May,15,,,,,,,,,,,,,,,
3,Rice,FAO,cereals-rice,Mediterranean,1.05,1.2,0.75,,30,30,60,30,150,May,May,15,,,,,,,,,,,,,,,
4,Sorghum,FAO,Sorghum - grain,"USA, Pakis., Med.",0.7,1.05,0.55,,20,35,40,30,130,May/June,June,15,,,,,,,,,,,,,,,
5,Soybeans,FAO,Soybeans,Central USA,0.5,1.15,0.5,,20,35,60,25,140,May,May,15,,,,,,,,,,,,,,,
6,Sunflower,FAO,,Medit.; California,0.35,1.08,0.35,,25,35,45,25,130,April/May,May,15,,,,,,,,,,,,,,,
10,Peanuts,FAO,groundnut(peanut),Mediterranean,0.4,1.15,0.6,,35,45,35,25,140,May May/June,June,1,,,,,,,,,,,,,,,
11,Tobacco,FAO,Vegetables - Solanum Family (Solanaceae),"Tomatoes (Calif., USA)",0.6,1.15,0.8,,35,40,50,30,155,Apr/May,May,15,,,,,,,,,,,,,,,
12,Sweet Corn,FAO,,"Idaho, USA",0.7,1.15,1.05,,30,30,30,10,110,April,April,15,,,,,,,,,,,,,,,
13,Pop or Orn Corn,FAO,"Maize, Field (grain) (field corn)","Idaho, USA",0.7,1.2,0.48,,30,40,50,50,170,April,April,15,,,,,,,,,,,,,,,
14,Mint,FAO,,Onion (green) Mediterranean,0.6,1.15,1.1,,25,30,10,5,70,April/May,May,15,,,,,,,,,,,,,,,
21,Barley,FAO,Barley,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.25,,20,25,60,30,135,March/Apr,April,15,,,,,,,,,,,,,,,
22,Durum Wheat,FAO,Spring Wheat,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.33,,20,25,60,30,135,March/Apr,April,15,,,,,,,,,,,,,,,
23,Spring Wheat,FAO,,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.33,,20,25,60,30,135,March/Apr,April,15,,,,,,,,,,,,,,,
24,Winter Wheat,FAO,Winter Wheat - with frozen soils,"Idaho, USA",0.4,1.15,0.33,,160,75,75,25,335,October,October,15,,,,,,,,,,,,,,,
26,Dbl Crop WinWht/Soybeans,Double,Soybeans,Central USA,0.5,1.15,0.5,,20,35,60,25,140,May,May,15,,,Winter Wheat - with frozen soils,Mediterranean,0.4,1.15,0.33,30,140,40,30,240,November,October,15
27,Rye,FAO,Rye Grass hay - averaged cutting effects,Barley/Oats/Wheat (35-45 ¡L),0.95,1.05,1,,20,25,60,30,135,March/Apr,April,15,,,,,,,,,,,,,,,
28,Oats,FAO,,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.25,,20,25,60,30,135,March/Apr,April,15,,,,,,,,,,,,,,,
29,Millet,FAO,,Millet (Central USA),0.7,1,0.3,,20,30,55,35,140,April,April,15,,,,,,,,,,,,,,,
30,Speltz,FAO,Oats,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.25,,20,25,60,30,135,March/Apr,April,15,,,,,,,,,,,,,,,
31,Canola,FAO,"Rapeseed, Canola",Crucifers (Mediterranean),0.35,1.08,0.35,,20,30,20,10,80,April,April,15,,,,,,,,,,,,,,,
34,Rape Seed,FAO,"Rapeseed, Canola",Crucifers (Mediterranean),0.35,1.08,0.35,,20,30,20,10,80,April,April,15,,,,,,,,,,,,,,,
35,Mustard,FAO,"Rapeseed, Canola",Crucifers (Mediterranean),0.35,1.08,0.35,,20,30,20,10,80,April,April,15,,,,,,,,,,,,,,,
36,Alfalfa,FAO,Alfalfa Hay - averaged cutting effects,"Alfalfa, total season",0.4,0.95,0.9,,10,30,var.,var.,last -4¡C in spring until first -4¡C in fall,,May,1,November,1,,,,,,,,,,,,,
37,Other Hay/Non Alfalfa,FAO,Bermuda hay - averaged cutting effects,"Bermuda for hay (several cuttings) Calif. Desert, USA",0.55,1,0.85,,10,15,75,35,135,---,May,1,,,,,,,,,,,,,,,
39,Buckwheat,FAO,Millet,Millet (Central USA),0.7,1,0.3,,20,30,55,35,140,April,April,15,,,,,,,,,,,,,,,
41,Sugarbeets,FAO,Sugar Beet,"Idaho, USA",0.35,1.2,0.7,,50,40,50,40,180,April,April,15,,,,,,,,,,,,,,,
42,Dry Beans,FAO,"Beans, dry and Pulses","Idaho, USA",0.4,1.15,0.35,,25,25,30,20,100,June,June,15,,,,,,,,,,,,,,,
43,Potatoes,FAO,Potato,Continental Climate,0.5,1.15,0.75,,25,30,45,30,130,May,May,15,,,,,,,,,,,,,,,
44,Other Crops,FAO,Perennial Vegetables (with winter dormancy and initially bare or mulched soil),Crucifers (Mediterranean),0.5,1,0.8,,20,30,20,10,80,April,April,15,,,,,,,,,,,,,,,
46,Sweet Potatoes,FAO,,Mediterranean,0.5,1.15,0.65,,20,30,60,40,150,April,April,15,,,,,,,,,,,,,,,
47,Misc Vegs & Fruits,FAO,Perennial Vegetables (with winter dormancy and initially bare or mulched soil),Crucifers (Mediterranean),0.5,1,0.8,,20,30,20,10,80,April,April,15,,,,,,,,,,,,,,,
48,Watermelons,FAO,Watermelon,Sweet melons (Mediterranean),0.4,1,0.75,,25,35,40,20,120,May,May,15,,,,,,,,,,,,,,,
49,Onions,FAO,Onions - dry,Onion (dry) Mediterranean,0.7,1.05,0.75,,15,25,70,40,150,April,April,15,,,,,,,,,,,,,,,
50,Cucumbers,FAO,Cucumber - Fresh Market,Arid Region,0.6,1,0.75,,20,30,40,15,105,June/Aug,June,15,,,,,,,,,,,,,,,
53,Peas,FAO,Peas - Fresh,Europe,0.5,1.15,1.1,,15,25,35,15,90,May,May,15,,,,,,,,,,,,,,,
54,Tomatoes,FAO,Vegetables - Solanum Family (Solanaceae),"Calif., USA",0.6,1.15,0.8,,35,40,50,30,155,Apr/May,May,15,,,,,,,,,,,,,,,
56,Hops,FAO,Hops,"Idaho, USA",0.3,1.05,0.85,,25,40,80,10,155,April,April,15,,,,,,,,,,,,,,,
57,Herbs,FAO,Small Vegetables,Onion (green) Mediterranean,0.7,1.05,0.95,,25,30,10,5,70,April/May,May,15,,,,,,,,,,,,,,,
58,Clover/Wildflowers,FAO,"Clover hay, Berseem - averaged cutting effects","Alfalfa, total season",0.4,0.9,0.85,,10,30,var.,var.,last -4¡C in spring until first -4¡C in fall,,May,1,November,1,,,,,,,,,,,,,
59,Sod/Grass Seed,FAO,Turf grass - cool season,Grass Pasture,0.9,0.95,0.95,,10,20,--,--,7 days before last -4¡C in spring until 7 days after first -4¡C in fall,,April,15,November,15,,,,,,,,,,,,,
60,Switchgrass,FAO,Sudan Grass hay (annual) - averaged cutting effects (https://doi.org/10.1016/j.agwat.2015.03.018),"Alfalfa, total season",0.5,0.9,0.85,,10,30,var.,var.,last -4¡C in spring until first -4¡C in fall,,May,1,November,1,,,,,,,,,,,,,
61,Fallow/Idle Cropland,Nistor et al.,"Land principally occupied by agriculture, with significant areas of natural vegetation",,0.7,1.15,1,,,,,,,,,,,,,,,,,,,,,,,,
64,Shrubland,Nistor et al.,Transitional woodland-shrub,,0.8,1,0.95,,,,,,,,,,,,,,,,,,,,,,,,
65,Barren,Nistor et al.,Bare rocks,,0.15,0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,
66,Cherries,FAO,"Apples, Cherries, Pears - active ground cover, killing frost",Deciduous Orchard,0.5,1.2,0.95,,20,70,90,30,210,March,March,15,,,,,,,,,,,,,,,
67,Peaches,FAO,"Apricots, Peaches, Stone Fruit - active ground cover, killing frost",Deciduous Orchard,0.5,1.15,0.9,,20,70,90,30,210,March,March,15,,,,,,,,,,,,,,,
68,Apples,FAO,"Apples, Cherries, Pears - active ground cover, killing frost",Deciduous Orchard,0.5,1.2,0.95,,20,70,90,30,210,March,March,15,,,,,,,,,,,,,,,
69,Grapes,FAO,Grapes - Wine,Grapes (High Latitudes),0.3,0.7,0.45,,20,50,90,20,180,May,May,15,,,,,,,,,,,,,,,
70,Christmas Trees,Nistor et al.,Coniferous forest,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
71,Other Tree Crops,FAO,"Apples, Cherries, Pears - active ground cover, killing frost",Deciduous Orchard,0.5,1.2,0.95,,20,70,90,30,210,March,March,15,,,,,,,,,,,,,,,
74,Pecans,FAO,Walnut orchard,"Walnuts (Utah, USA)",0.5,1.1,0.65,,20,10,130,30,190,April,April,15,,,,,,,,,,,,,,,
76,Walnuts,FAO,Walnut orchard,,0.5,1.1,0.65,,20,10,130,30,190,April,April,15,,,,,,,,,,,,,,,
77,Pears,FAO,"Apples, Cherries, Pears - active ground cover, killing frost",Deciduous Orchard,0.5,1.2,0.95,,20,70,90,30,210,March,March,15,,,,,,,,,,,,,,,
111,Open Water,Nistor et al.,Water bodies,,0.25,0.65,1.25,,,,,,,,,,,,,,,,,,,,,,,,
121,Developed/Open Space,Nistor et al.,Green urban areas,,0.12,0.32,0.22,,,,,,,,,,,,,,,,,,,,,,,,
122,Developed/Low Intensity,Nistor et al.,Discontinuous urban fabric,,0.1,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,
123,Developed/Med Intensity,Nistor et al.,Discontinuous urban fabric,,0.1,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,
124,Developed/High Intensity,Nistor et al.,Continous urban fabric,,0.2,0.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,
131,Barren,Nistor et al.,Bare rocks,,0.15,0.2,0.05,,,,,,,,,,,,,,,,,,,,,,,,
141,Deciduous Forest,Nistor et al.,Broad-leaved forest,,1.3,1.6,1.5,0.6,,,,,,,,,,,,,,,,,,,,,,,
142,Evergreen Forest,Nistor et al.,Coniferous forest,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
143,Mixed Forest,Nistor et al.,Mixed forest,,1.2,1.5,1.3,0.8,,,,,,,,,,,,,,,,,,,,,,,
152,Shrubland,Nistor et al.,Transitional woodland-shrub,,0.8,1,0.95,,,,,,,,,,,,,,,,,,,,,,,,
176,Grassland/Pasture,Nistor et al.,Pastures,,0.4,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,
190,Woody Wetlands,Nistor et al.,Broad-leaved forest,,1.3,1.6,1.5,0.6,,,,,,,,,,,,,,,,,,,,,,,
195,Herbaceous Wetlands,Nistor et al.,Inland marshes,,0.15,0.45,0.8,,,,,,,,,,,,,,,,,,,,,,,,
205,Triticale,FAO,Spring Wheat,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.33,,20,25,60,30,135,March/Apr,April,15,,,,,,,,,,,,,,,
206,Carrots,FAO,Carrots,Mediterranean,0.7,1.05,0.95,,30,40,60,20,150,Feb/Mar,March,15,,,,,,,,,,,,,,,
207,Asparagus,FAO,Asparagus,Warm Winter,0.5,0.95,0.3,,20,70,90,30,210,March,March,15,,,,,,,,,,,,,,,
209,Cantaloupes,FAO,Cantaloupe,Sweet melons (Mediterranean),0.5,0.85,0.6,,25,35,40,20,120,May,May,15,,,,,,,,,,,,,,,
214,Broccoli,FAO,Broccoli,Crucifers (Mediterranean),0.7,1.05,0.95,,20,30,20,10,80,April,April,15,,,,,,,,,,,,,,,
216,Peppers,FAO,Sweet Peppers (bell),Sweet peppers (bell) Europe and Medit.,0.6,1.05,0.9,,25,35,40,20,125,April/June,June,15,,,,,,,,,,,,,,,
219,Greens,FAO,Spinach,Mediterranean,0.7,1,0.95,,20,20,15,5,60,April,April,15,,,,,,,,,,,,,,,
220,Plums,FAO,"Apricots, Peaches, Stone Fruit - active ground cover, killing frost",Deciduous Orchard,0.5,1.15,0.9,,20,70,90,30,210,March,March,15,,,,,,,,,,,,,,,
221,Strawberries,FAO,Strawberries,Peas (Europe),0.4,0.85,0.75,,15,25,35,15,90,May,May,15,,,,,,,,,,,,,,,
222,Squash,FAO,"Squash, Zucchini",Medit.; Europe,0.5,0.95,0.75,,20,30,25,15,90,May/June,June,15,,,,,,,,,,,,,,,
225,Dbl Crop WinWht/Corn,Double,"Maize, Field (grain) (field corn)","Idaho, USA",0.7,1.2,0.48,,30,40,50,50,170,April,April,15,,,Winter Wheat - with frozen soils,Mediterranean,0.4,1.15,0.33,30,140,40,30,240,November,October,15
226,Dbl Crop Oats/Corn,Double,"Maize, Field (grain) (field corn)","Idaho, USA",0.7,1.2,0.48,,30,40,50,50,170,April,April,15,,,Oats,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.25,40,60,60,40,200,Nov,October,15
228,Dbl Crop Triticale/Corn,Double,"Maize, Field (grain) (field corn)","Idaho, USA",0.7,1.2,0.48,,30,40,50,50,170,April,April,15,,,Winter Wheat - with frozen soils,Mediterranean,0.4,1.15,0.33,30,140,40,30,240,November,October,15
229,Pumpkins,FAO,"Pumpkin, Winter Squash","Pumpkin, Winter Squash (Europe)",0.5,1,0.8,,25,35,35,25,120,June,June,15,,,,,,,,,,,,,,,
236,Dbl Crop WinWht/Sorghum,Double,Sorghum - grain,"USA, Pakis., Med.",0.7,1.05,0.55,,20,35,40,30,130,May/June,May,15,,,Winter Wheat - with frozen soils,Mediterranean,0.4,1.15,0.33,30,140,40,30,240,November,October,15
237,Dbl Crop Barley/Corn,Double,"Maize, Field (grain) (field corn)","Idaho, USA",0.7,1.2,0.48,,30,40,50,50,170,April,April,15,,,Barley,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.25,40,60,60,40,200,Nov,October,15
240,Dbl Crop Soybeans/Oats,Double,Soybeans,Central USA,0.5,1.15,0.5,,20,35,60,25,140,May,May,15,,,Oats,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.25,40,60,60,40,200,Nov,October,15
241,Dbl Crop Corn/Soybeans,Double,Soybeans,Central USA,0.5,1.15,0.5,,20,35,60,25,140,May,May,15,,,Winter Wheat - with frozen soils,Mediterranean,0.4,1.15,0.33,30,140,40,30,240,November,October,15
242,Blueberries,FAO,Berries (bushes),Grapes (High Latitudes),0.3,1.05,0.5,,20,50,90,20,180,May,May,15,,,,,,,,,,,,,,,
243,Cabbage,FAO,,Crucifers (Mediterranean),0.7,1.05,0.95,,20,30,20,10,80,April,April,15,,,,,,,,,,,,,,,
244,Cauliflower,FAO,Cauliflower,Crucifers (Mediterranean),0.7,1.05,0.95,,20,30,20,10,80,April,April,15,,,,,,,,,,,,,,,
246,Radishes,FAO,Radish,Medit.; Europe,0.7,0.9,0.85,,5,10,15,5,35,Mar/Apr,April,15,,,,,,,,,,,,,,,
248,Eggplants,FAO,Egg Plant,Mediterranean,0.6,1.05,0.9,,30,45,40,25,40,May/June,June,15,,,,,,,,,,,,,,,
249,Gourds,FAO,"Squash, Zucchini","Pumpkin, Winter squash (Europe)",0.5,0.95,0.75,,25,35,35,25,120,June,June,15,,,,,,,,,,,,,,,
250,Cranberries,FAO,Berries (bushes),Grapes (High Latitudes),0.3,1.05,0.5,,20,50,90,20,180,May,May,15,,,,,,,,,,,,,,,
254,Dbl Crop Barley/Soybeans,Double,Soybeans,Central USA,0.5,1.15,0.5,,20,35,60,25,140,May,May,15,,,Barley,Barley/Oats/Wheat (35-45 ¡L),0.3,1.15,0.25,40,60,60,40,200,Nov,October,15
171,Pollinator habitat,Nistor et al.,Natural grasslands,,0.3,1.15,1.1,,,,,,,,,,,,,,,,,,,,,,,,